rule_short_code,rule_name,rule_category,source_document,applicable_modules,severity,check_type,check_pattern,expected_value,is_auto_checkable,remediation_guide,rule_status
SQL-ANL-001,Analytics SQL sub-query count must be 5 or fewer,SQL,08_Analytics,Analytics,CRITICAL,SQL_PARSE,"{""type"":""SQL_PARSE"",""max_subqueries"":5,""check_select_star"":false,""data_key"":""analytics_reports""}",sub_queries <= 5,TRUE,Refactor the SQL. Split into multiple reports or use pre-aggregated tables. See 08_Analytics_Standards.md Section 4.,Active
SQL-ANL-002,Analytics SQL must not use SELECT *,SQL,08_Analytics,Analytics,HIGH,SQL_PARSE,"{""type"":""SQL_PARSE"",""max_subqueries"":99,""check_select_star"":true,""data_key"":""analytics_reports""}",Explicit column list only,TRUE,Replace SELECT * with an explicit column list in the report SQL.,Active
SQL-ANL-003,Analytics SQL keywords must be UPPERCASE,SQL,08_Analytics,Analytics,MEDIUM,REGEX,"{""type"":""REGEX"",""target"":""sql_query"",""pattern"":"".*\\b(select|from|where|group|order|having|join|union)\\b.*"",""fail_on_match"":true,""data_key"":""analytics_reports""}",All SQL keywords uppercase,TRUE,Convert all SQL keywords (SELECT FROM WHERE etc.) to uppercase.,Active
SEC-ALL-001,No hardcoded API keys or tokens in Deluge functions,Security,00_Cross_Module,ALL,CRITICAL,MANUAL,{},All credentials via Zoho Connections or Org Variables,FALSE,Move credentials to Zoho Connections or Org Variables. Never put API keys or passwords in function code.,Active
SEC-ALL-002,No PII (name email phone) in info log statements,Security,00_Cross_Module,ALL,HIGH,MANUAL,{},No personal data in info() calls,FALSE,Remove personal data fields from all info() statements. Use record IDs only for logging.,Active
SEC-ALL-003,Sensitive fields (salary medical) must have role restrictions,Security,00_Cross_Module,"People,CRM",CRITICAL,MANUAL,{},Salary visible to HR/Director only,FALSE,"Set field-level permissions in People/CRM field settings. Restrict salary to HR and Director roles only.",Active
SEC-ALL-004,External API calls must use Zoho Connections not raw tokens,Security,00_Cross_Module,ALL,CRITICAL,MANUAL,{},All invokeurl calls use connection parameter,FALSE,"Replace any hardcoded Bearer tokens in invokeurl with connection:""connection_name"".",Active
SEC-ALL-005,No OAuth tokens or API keys in widget JavaScript,Security,00_Cross_Module,"Creator,Sigma,People",CRITICAL,MANUAL,{},Widgets use ZOHO SDK only — no tokens in JS,FALSE,Remove any API keys from widget JS files. Use ZOHO.CREATOR.API or ZOHO.CRM.API via the SDK.,Active
SEC-ALL-006,No console.log statements in production widget code,Security,00_Cross_Module,"Creator,Sigma,People",HIGH,MANUAL,{},No console.log in production,FALSE,Remove all console.log statements. Use a DEBUG_MODE gate if debug logging is needed.,Active
SEC-ALL-007,No var keyword in widget JavaScript,Security,00_Cross_Module,"Creator,Sigma",MEDIUM,MANUAL,{},Only const and let allowed,FALSE,Replace all var declarations with const (preferred) or let.,Active
GIT-ALL-001,Branch name must follow feature/fix/improve/security/release/hotfix pattern,Git,00_Cross_Module,ALL,MEDIUM,MANUAL,{},feature/module-description,FALSE,"Rename the branch: git branch -m old-name feature/correct-name",Active
GIT-ALL-002,Commit message must follow [MODULE] type: description format,Git,00_Cross_Module,ALL,MEDIUM,MANUAL,{},"[CRM] feat: add lead scoring function",FALSE,"Amend commit: git commit --amend -m ""[MODULE] feat: description""",Active
GIT-ALL-003,No secrets or credentials in git commits,Git,00_Cross_Module,ALL,CRITICAL,MANUAL,{},No API keys tokens or passwords in any committed file,FALSE,Use git-filter-repo or BFG to remove secrets from history. Add secret to .gitignore immediately.,Active
GIT-ALL-004,Release tags must follow semantic versioning vMAJOR.MINOR.PATCH,Git,00_Cross_Module,ALL,MEDIUM,MANUAL,{},v1.0.0 format,FALSE,"Re-tag the release: git tag -d old-tag && git tag v1.0.0 && git push --tags",Active
STR-CAT-001,Catalyst function must start with use strict,Structure,01_Catalyst,Catalyst,HIGH,MANUAL,{},"'use strict'; at top of function file",FALSE,"Add 'use strict'; as the first line of every Catalyst function file.",Active
STR-CAT-002,Catalyst function must export async (context basicIO),Structure,01_Catalyst,Catalyst,HIGH,MANUAL,{},module.exports = async (context basicIO) => {},FALSE,"Update function export signature to: module.exports = async (context, basicIO) => {}",Active
STR-CAT-003,Catalyst package.json must use exact versions (no ^ or ~),Structure,01_Catalyst,Catalyst,MEDIUM,MANUAL,{},"Exact versions: ""express"": ""4.18.2""",FALSE,"Remove ^ and ~ from all production dependencies in package.json. Use exact versions.",Active
STR-WGT-001,Widget must have index.html app.js and style.css,Structure,00_Cross_Module,"Creator,Sigma,People",MEDIUM,MANUAL,{},"index.html, app.js, style.css present",FALSE,Create missing files in the widget folder. All three are required.,Active
STR-WGT-002,Widget HTML must use semantic elements (article section header) not div-soup,Structure,00_Cross_Module,"Creator,Sigma,People",LOW,MANUAL,{},Semantic HTML5 elements used,FALSE,Replace generic divs with semantic elements: article section header main nav.,Active
API-CRM-001,CRM batch operations must not exceed 100 records per call,API_Limits,04_CRM,CRM,HIGH,MANUAL,{},Max 100 records per create/update batch,FALSE,"Split batches into chunks of 100. Use pagination for large data sets.",Active
API-CRM-002,CRM getRecords/search must paginate for results over 200,API_Limits,04_CRM,CRM,MEDIUM,MANUAL,{},Paginate when results may exceed 200,FALSE,Add pagination loop to any getRecords/searchRecords call that may return more than 200 records.,Active
API-ANL-001,Analytics hard limit of 5 sub-queries per SQL report,API_Limits,08_Analytics,Analytics,CRITICAL,SQL_PARSE,"{""type"":""SQL_PARSE"",""max_subqueries"":5,""check_select_star"":false,""data_key"":""analytics_reports""}",Maximum 5 sub-queries per report,TRUE,Exceeding 5 sub-queries will cause the query to fail with no partial results. Redesign the query.,Active
